No|Date Time|In Temp|In Hum|Out Temp|Out Hum|Out Dew|Out Feel|Wind|Gust|Dir|Abs Pressure|Rel Pressure|Rain Hour|Rain Day|Rain Week|Rain Month|Rain Total
1|11/4/2025 12:26:32 AM|13.7|75|10.4|94|9.6|10.4|0.2|0.3|45|1014.1|1015.3|0|0|0|32.4|109.5
2|11/4/2025 12:36:32 AM|13.7|75|10.4|94|9.6|10.4|0.2|0.3|45|1014.2|1015.4|0|0|0|32.4|109.5
3|11/4/2025 12:46:32 AM|13.6|75|11|94|10.1|11|0|0|180|1014|1015.2|0|0|0|32.4|109.5
4|11/4/2025 12:56:32 AM|13.4|75|10.9|94|10|10.9|0|0.3|90|1014.1|1015.3|0|0|0|32.4|109.5
5|11/4/2025 1:06:32 AM|13.4|75|10.9|94|10.1|10.9|0.2|0.3|315|1013.7|1014.9|0|0|0|32.4|109.5
6|11/4/2025 1:16:32 AM|13.3|75|11|94|10.1|11|0.3|0.7|90|1013.5|1014.7|0|0|0|32.4|109.5
7|11/4/2025 1:26:32 AM|13.3|75|11|94|10.1|11|0|0.3|90|1013.3|1014.5|0|0|0|32.4|109.5
8|11/4/2025 1:36:32 AM|13.2|75|11.4|92|10.2|11.4|0.4|0.7|90|1013.5|1014.7|0|0|0|32.4|109.5
9|11/4/2025 1:46:32 AM|13.2|75|11.2|91|9.8|11.2|0.2|0.3|315|1013.1|1014.3|0|0|0|32.4|109.5
10|11/4/2025 1:56:32 AM|13.1|75|11.1|91|9.7|11.1|0.7|1|90|1012.8|1014|0|0|0|32.4|109.5
11|11/4/2025 2:06:32 AM|13|75|10.9|91|9.5|10.9|0|0|0|1012.9|1014.1|0|0|0|32.4|109.5
12|11/4/2025 2:16:32 AM|12.9|75|11.3|89|9.6|11.3|0.5|0.7|225|1012.5|1013.7|0|0|0|32.4|109.5
13|11/4/2025 2:26:32 AM|12.9|75|11.7|87|9.6|11.7|0.7|1|225|1012.4|1013.6|0|0|0|32.4|109.5
14|11/4/2025 2:36:32 AM|12.8|75|12.2|87|10.1|12.2|0.5|1|225|1012.5|1013.7|0|0|0|32.4|109.5
15|11/4/2025 2:46:32 AM|12.8|76|11.9|87|9.9|11.9|0|0|135|1012.4|1013.6|0|0|0|32.4|109.5
16|11/4/2025 2:56:32 AM|12.8|76|12.1|86|9.8|12.1|0.4|0.7|270|1012.4|1013.6|0|0|0|32.4|109.5
17|11/4/2025 3:06:32 AM|12.8|76|11.9|89|10.2|11.9|0.3|0.3|45|1012.3|1013.5|0|0|0|32.4|109.5
18|11/4/2025 3:16:32 AM|12.7|76|11.8|89|10.1|11.8|0.5|0.7|90|1012.5|1013.7|0|0|0|32.4|109.5
19|11/4/2025 3:26:32 AM|12.7|76|11.7|90|10.1|11.7|0.5|0.7|45|1012.4|1013.6|0|0|0|32.4|109.5
20|11/4/2025 3:36:32 AM|12.7|76|11.4|90|9.8|11.4|0|0|225|1012.6|1013.8|0|0|0|32.4|109.5
21|11/4/2025 3:46:32 AM|12.6|76|11.4|91|10|11.4|0.1|0.3|270|1012.4|1013.6|0|0|0|32.4|109.5
22|11/4/2025 3:56:32 AM|12.6|76|11.4|91|10|11.4|0.7|1|90|1012.1|1013.3|0|0|0|32.4|109.5
23|11/4/2025 4:06:32 AM|12.6|76|11.2|92|10|11.2|0.6|0.7|90|1012.2|1013.4|0|0|0|32.4|109.5
24|11/4/2025 4:16:32 AM|12.6|76|11.1|92|9.9|11.1|0|0|315|1012|1013.2|0|0|0|32.4|109.5
25|11/4/2025 4:26:32 AM|12.6|76|11.3|92|10.1|11.3|0|0|180|1011.8|1013|0|0|0|32.4|109.5
26|11/4/2025 4:36:32 AM|12.5|76|11.3|92|10.1|11.3|0|0|135|1012|1013.2|0|0|0|32.4|109.5
27|11/4/2025 4:46:32 AM|12.5|76|11.3|93|10.2|11.3|0|0|0|1011.7|1012.9|0|0|0|32.4|109.5
28|11/4/2025 4:56:32 AM|12.4|76|11.3|93|10.3|11.3|0.1|0.3|270|1011.7|1012.9|0|0|0|32.4|109.5
29|11/4/2025 5:06:32 AM|12.4|76|11.9|93|10.9|11.9|0.2|0.3|45|1011.4|1012.6|0|0|0|32.4|109.5
30|11/4/2025 5:16:32 AM|12.4|76|13.1|91|11.6|13.1|0.9|1.3|90|1011.9|1013.1|0|0|0|32.4|109.5
31|11/4/2025 5:26:32 AM|12.4|76|12.7|90|11.1|12.7|0.1|0.3|225|1012|1013.2|0|0|0|32.4|109.5
32|11/4/2025 5:36:32 AM|12.4|76|12.7|90|11.1|12.7|0.1|0.3|225|1011.6|1012.8|0|0|0|32.4|109.5
33|11/4/2025 5:46:32 AM|12.4|76|12.7|90|11.1|12.7|0.1|0.3|225|1010.8|1012|0|0|0|32.4|109.5
34|11/4/2025 5:56:32 AM|12.4|76|14|90|12.4|14|2.1|3|45|1010.3|1011.5|0|0|0|32.4|109.5
35|11/4/2025 6:06:32 AM|12.4|76|14|90|12.4|14|2.1|3|45|1010|1011.2|0|0|0|32.4|109.5
36|11/4/2025 6:16:32 AM|12.4|77|14|90|12.4|14|2.1|3|45|1009.9|1011.1|0|0|0|32.4|109.5
37|11/4/2025 6:26:32 AM|12.5|77|14|90|12.4|14|2.1|3|45|1009.9|1011.1|0|0|0|32.4|109.5
38|11/4/2025 6:36:32 AM|12.6|77|14|90|12.4|14|2.1|3|45|1009.6|1010.8|0|0|0|32.4|109.5
39|11/4/2025 6:46:32 AM|12.6|77|14|90|12.4|14|2.1|3|45|1009.6|1010.8|0|0|0|32.4|109.5
40|11/4/2025 6:56:32 AM|12.7|77|14.7|84|12|14.7|0.4|0.7|45|1009.8|1011|0|0|0|32.4|109.5
41|11/4/2025 7:06:32 AM|12.7|77|15.5|80|12.1|15.5|1.3|1.7|90|1009.8|1011|0|0|0|32.4|109.5
42|11/4/2025 7:16:32 AM|12.8|77|15.8|76|11.6|15.8|2.6|3|90|1009.8|1011|0|0|0|32.4|109.5
43|11/4/2025 7:26:32 AM|12.8|77|15.7|76|11.5|15.7|0.9|1.3|135|1009.8|1011|0|0|0|32.4|109.5
44|11/4/2025 7:36:32 AM|12.9|77|15.5|76|11.3|15.5|1.7|2|90|1009.6|1010.8|0|0|0|32.4|109.5
45|11/4/2025 7:46:32 AM|13|77|15.4|76|11.3|15.4|0.1|0.3|225|1009.8|1011|0|0|0|32.4|109.5
46|11/4/2025 7:56:32 AM|13.1|77|15.4|75|11.1|15.4|0.7|1|0|1009.9|1011.1|0|0|0|32.4|109.5
47|11/4/2025 8:06:32 AM|13.1|77|15.2|75|10.8|15.2|0.2|0.3|225|1009.9|1011.1|0|0|0|32.4|109.5
48|11/4/2025 8:16:32 AM|13.2|77|15.2|74|10.6|15.2|0|0|135|1010.3|1011.5|0|0|0|32.4|109.5
49|11/4/2025 8:26:32 AM|13.2|77|15.4|73|10.7|15.4|0.5|0.7|45|1010.4|1011.6|0|0|0|32.4|109.5
50|11/4/2025 8:36:32 AM|13.2|77|15.7|70|10.2|15.7|0.8|1.3|90|1010.6|1011.8|0|0|0|32.4|109.5
